Gene.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	rank
1285	ENSMUSG00000028597	1.94869909435354	0.0772019324594153	5.82050012818318	4.7468394793286e-06	5.66739387485287e-05	3.9516936251023	Gpx7	146
1730	ENSMUSG00000040552	1.94089747979464	-1.00309411697566	5.23586799324701	2.09802261954466e-05	0.000186057011728637	2.25267771604268	C3ar1	147
657	ENSMUSG00000060260	1.94070007634315	0.584395989767458	7.31371568336391	1.24313183133471e-07	2.90291150020353e-06	7.41696210937682	Pwwp2b	148
1337	ENSMUSG00000016382	1.93385540888006	0.562745571101065	5.75230262578792	5.63768470842981e-06	6.46921157791549e-05	3.96378330763793	Pls3	149
8	ENSMUSG00000019850	1.93085639310863	7.61291199654564	19.2216184540211	2.25201896692157e-16	4.31880937381383e-13	27.5387598478648	Tnfaip3	150
1022	ENSMUSG00000032369	1.92794145266228	2.94505662526206	6.31023381563076	1.39840704456732e-06	2.09899885305389e-05	5.31770260821398	Plscr1	151
1165	ENSMUSG00000032940	1.92765923681331	-0.267958603380726	6.03912066854293	2.74278236882785e-06	3.61199717618514e-05	4.27511681514321	Rbm11	152
2006	ENSMUSG00000024232	1.92231082757295	-0.249695160157227	4.90432104600083	4.91733545767545e-05	0.000376013112268163	1.88431061522999	Bambi	153
460	ENSMUSG00000003032	1.92140336146091	2.59042928928018	8.06175588832901	2.22312819680628e-08	7.41461582508738e-07	9.36389931471896	Klf4	154
922	ENSMUSG00000091996	1.91727002896744	0.680659886707933	6.54462096865368	7.86095693312722e-07	1.30805641288544e-05	5.68822854304067	BC049352	155
773	ENSMUSG00000028063	1.91702871881221	2.97624781934953	6.92584328898823	3.12256848209433e-07	6.19747033017997e-06	6.82331833032254	Lmna	156
3004	ENSMUSG00000090559	1.91646292177899	-0.672605364500527	4.05112340241223	0.000442323395936437	0.00225902980707617	-0.000737172818713994	Gm17137	157
519	ENSMUSG00000070291	1.89956428056322	3.07350334116616	7.81437478187897	3.89621939806626e-08	1.15174947986768e-06	8.83754680756599	Ddx43	158
127	ENSMUSG00000030688	1.89817285296867	3.67566443904307	10.9808063776113	5.4022102527986e-11	6.52604013373513e-09	15.269714370002	Stard10	159
3552	ENSMUSG00000074075	1.89711634712472	-1.69210418547639	3.69276663241453	0.0011009133527865	0.00475512743762684	-0.894061249024872	NA	160
3297	ENSMUSG00000073753	1.89135364802935	-1.03277709322999	3.85495441289016	0.000729788441508222	0.00339594002718203	-0.468733556653379	Gm10571	161
3648	ENSMUSG00000029228	1.88593849163325	-1.65529505016125	3.62419156151033	0.00130868743880728	0.00550380556090496	-1.16737637219211	Lnx1	162
5720	ENSMUSG00000040828	1.8673262541303	-1.12644048842158	2.62863187559788	0.0145234854968962	0.0389459022668606	-2.90322241768595	Catsperd	163
1537	ENSMUSG00000033967	1.86452584922397	-0.431626395743343	5.47788250014974	1.13068598626706e-05	0.000112862618095701	3.0757890238391	Rnf225	164
4431	ENSMUSG00000031785	1.8628299198256	0.789803029991406	3.1841479227168	0.00389863479860833	0.013498726039325	-1.95704108981694	Adgrg1	165
982	ENSMUSG00000022865	1.85948553174571	1.59950476019932	6.38960591720753	1.14980297839701e-06	1.7963622499559e-05	5.54201241118767	Cxadr	166
5315	ENSMUSG00000090628	1.85278180200788	-1.70253446968595	2.7964806575183	0.0098517723327579	0.0284376088672007	-2.61578493693077	Gm17083	167
4948	ENSMUSG00000091318	1.85155097678979	-2.40365981155726	2.94289717494894	0.00697374123587956	0.0216231079306516	-2.40489981343147	Gm5415	168
2270	ENSMUSG00000026285	1.84815332141174	2.72303461844432	4.64904795427616	9.49518778950228e-05	0.000641721699515857	1.07538286952972	Pdcd1	169
83	ENSMUSG00000071203	1.84219961710892	3.84551492741056	12.2276371541716	5.64033428863401e-12	1.04257841754486e-09	17.4865061400535	Naip5	170
5377	ENSMUSG00000059602	1.83864780394091	-1.57104917769068	2.76395986506414	0.0106285287313081	0.0303198073949319	-2.67262442555725	Syn3	171
5933	ENSMUSG00000081730	1.8344034428452	-2.30514512731696	2.5461036935762	0.0175170738001447	0.0452969739156953	-3.07375382339738	Gm13785	172
661	ENSMUSG00000041481	1.83281850523149	5.9282362380674	7.29768941241912	1.29086289926664e-07	2.99265724050609e-06	7.16394683836882	Serpina3g	173
6257	ENSMUSG00000028451	1.82842306091057	-2.01661328790111	2.42100437406929	0.0231638101447667	0.0567970553365848	-3.25337919786422	1700022I11Rik	174
130	ENSMUSG00000049001	1.82781881643566	2.33993321246041	10.9633600352848	5.58261022784168e-11	6.58833893196516e-09	14.9986353072584	Ndnf	175
2905	ENSMUSG00000079402	1.82170162443341	-0.109071467874463	4.13076798185701	0.000360654296657432	0.00190404618696432	0.174992455126831	Gm3020	176
